tp,sex,edu,income,pipei
苏提春晓,F,初中,48720,0.589
曲院风荷,F,高中,30719,0.853
平湖秋月,M,高中,43064,0.649
断桥残雪,F,高中,14919,0.165
花港观鱼,F,高中,36603,0.553
柳浪闻莺,M,大学,23040,0.12
三潭印月,F,大学及以上,21250,0.66
双峰插云,M,大学及以上,36456,0.027
雷峰夕照,M,初中,45853,0.852
南屏晚钟,F,高中,23436,0.444
苏提春晓,M,大学,41265,0.364
曲院风荷,M,大学,40619,0.247
平湖秋月,M,初中,11277,0.403
断桥残雪,F,大学及以上,32936,0.92
花港观鱼,M,大学及以上,47878,0.173
柳浪闻莺,F,高中,25934,0.548
三潭印月,F,高中,26844,0.809
双峰插云,F,高中,7707,0.279
雷峰夕照,F,初中,48232,0.461
南屏晚钟,M,大学,17698,0.678
苏提春晓,F,高中,17877,0.251
曲院风荷,F,初中,11582,0.948
平湖秋月,M,初中,29073,0.974
断桥残雪,F,初中,45860,0.602
花港观鱼,M,高中,21813,0.973
柳浪闻莺,F,高中,49933,0.167
三潭印月,M,高中,40552,0.892
双峰插云,F,大学,27805,0.831
雷峰夕照,M,高中,28879,0.073
南屏晚钟,M,大学及以上,17597,0.434
苏提春晓,M,初中,37680,0.242
曲院风荷,F,高中,28203,0.64
平湖秋月,M,大学及以上,11837,0.36
断桥残雪,F,初中,34260,0.949
花港观鱼,M,大学,48620,0.247
柳浪闻莺,F,大学,47858,0.69
三潭印月,M,大学及以上,40541,0.493
双峰插云,M,高中,31465,0.764
雷峰夕照,M,高中,6824,0.162
南屏晚钟,F,大学,39240,0.353
苏提春晓,M,大学及以上,42850,0.74
曲院风荷,F,初中,10259,0.447
平湖秋月,M,大学,44972,0.83
断桥残雪,F,大学,10140,0.547
花港观鱼,M,高中,16614,0.899
柳浪闻莺,M,初中,17981,0.336
三潭印月,M,大学及以上,19899,0.887
双峰插云,F,大学,14648,0.543
雷峰夕照,F,初中,49300,0.388
南屏晚钟,F,高中,25725,0.272
苏提春晓,F,初中,8950,0.132
曲院风荷,M,大学,13495,0.338
平湖秋月,M,大学及以上,19874,0.628
断桥残雪,F,大学,19460,0.825
花港观鱼,F,高中,27803,0.994
柳浪闻莺,F,大学及以上,10755,0.759
三潭印月,F,高中,6980,0.906
双峰插云,F,初中,34834,0.462
雷峰夕照,M,大学,44132,0.077
南屏晚钟,M,高中,9370,0.76
苏提春晓,M,初中,25415,0.705
曲院风荷,M,大学及以上,23070,0.79
平湖秋月,F,初中,9895,0.129
断桥残雪,M,初中,46943,0.516
花港观鱼,M,大学及以上,35678,0.207
柳浪闻莺,F,高中,15052,0.553
三潭印月,M,高中,30876,0.536
双峰插云,F,大学及以上,39113,0.162
雷峰夕照,M,大学及以上,19914,0.579
南屏晚钟,M,大学及以上,29968,0.577
苏提春晓,M,大学及以上,19930,0.078
曲院风荷,M,高中,4453,0.672
平湖秋月,F,初中,27300,0.872
断桥残雪,M,大学及以上,14682,0.938
花港观鱼,M,初中,12925,0.26
柳浪闻莺,F,大学及以上,18413,0.41
三潭印月,F,高中,41745,0.236
双峰插云,F,高中,16597,0.088
雷峰夕照,M,大学,39041,0.728
南屏晚钟,M,大学及以上,49260,0.792
苏提春晓,M,大学及以上,28150,0.763
曲院风荷,M,初中,23328,0.714
平湖秋月,M,大学,43268,0.376
断桥残雪,M,大学及以上,37370,0.085
花港观鱼,F,高中,30804,0.656
柳浪闻莺,M,大学及以上,10705,0.919
三潭印月,F,初中,15727,0.785
双峰插云,F,高中,15645,0.018
雷峰夕照,F,大学及以上,38712,0.224
南屏晚钟,M,高中,48899,0.846
苏提春晓,F,初中,18348,0.862
曲院风荷,F,大学及以上,33814,0.416
平湖秋月,M,高中,34566,0.428
断桥残雪,F,大学及以上,19166,0.847
花港观鱼,F,大学及以上,9505,0.865
柳浪闻莺,M,大学及以上,37076,0.915
三潭印月,F,大学及以上,6132,0.67
双峰插云,M,大学及以上,26530,0.516
雷峰夕照,F,初中,37847,0.088
南屏晚钟,F,初中,47061,0.938
苏提春晓,F,初中,8721,0.631
曲院风荷,F,初中,31578,0.019
平湖秋月,M,高中,35179,0.373
断桥残雪,M,大学及以上,14363,0.19
花港观鱼,M,大学及以上,30433,0.032
柳浪闻莺,M,高中,11199,0.022
三潭印月,M,高中,27372,0.612
双峰插云,M,大学,7373,0.405
雷峰夕照,M,高中,37050,0.67
南屏晚钟,M,大学及以上,45964,0.646
苏提春晓,M,初中,29077,0.679
曲院风荷,M,大学,36939,0.216
平湖秋月,F,大学及以上,40566,0.45
断桥残雪,M,高中,11438,0.88
花港观鱼,F,大学及以上,27834,0.243
柳浪闻莺,F,初中,19412,0.015
三潭印月,M,初中,7867,0.994
双峰插云,M,大学及以上,12325,0.49
雷峰夕照,M,大学,37565,0.083
南屏晚钟,F,大学及以上,25980,0.453
苏提春晓,F,大学及以上,16780,0.958
曲院风荷,F,大学,15079,0.129
平湖秋月,M,高中,40735,0.063
断桥残雪,F,大学及以上,33919,0.364
花港观鱼,F,初中,45294,0.322
柳浪闻莺,M,高中,34485,0.779
三潭印月,F,高中,44312,0.363
双峰插云,F,大学,17176,0.956
雷峰夕照,M,大学及以上,16556,0.346
南屏晚钟,M,高中,33361,0.126
苏提春晓,M,初中,35916,0.426
曲院风荷,F,大学及以上,49586,0.226
平湖秋月,M,大学,14909,0.469
断桥残雪,F,大学,42629,0.101
花港观鱼,M,高中,30365,0.435
柳浪闻莺,M,大学,17044,0.933
三潭印月,F,高中,32625,0.173
双峰插云,F,大学,7961,0.857
雷峰夕照,F,高中,32040,0.499
南屏晚钟,M,初中,10225,0.206
苏提春晓,F,大学,42559,0.222
曲院风荷,M,大学及以上,38055,0.736
平湖秋月,F,初中,31833,0.545
断桥残雪,M,大学及以上,47074,0.602
花港观鱼,M,大学,48767,0.792
柳浪闻莺,M,高中,46794,0.965
三潭印月,M,初中,29787,0.488
双峰插云,M,大学及以上,31657,0.96
雷峰夕照,F,高中,21171,0.686
南屏晚钟,F,大学及以上,11447,0.172
苏提春晓,M,大学,45816,0.59
曲院风荷,M,大学,40024,0.269
平湖秋月,M,初中,41677,0.048
断桥残雪,F,初中,3023,0.609
花港观鱼,M,大学及以上,40602,0.772
柳浪闻莺,F,大学,45181,0.15
三潭印月,M,大学,8752,0.826
双峰插云,M,大学,4852,0.17
雷峰夕照,F,大学,35452,0.175
南屏晚钟,M,高中,40714,0.218
苏提春晓,M,高中,36957,0.537
曲院风荷,F,大学及以上,24223,0.255
平湖秋月,F,大学及以上,40642,0.152
断桥残雪,F,大学,42885,0.62
花港观鱼,F,初中,17258,0.914
柳浪闻莺,F,大学及以上,20973,0.033
三潭印月,F,大学,35721,0.338
双峰插云,M,初中,24488,0.822
雷峰夕照,F,高中,3299,0.28
南屏晚钟,F,大学,15714,0.741
苏提春晓,F,高中,27401,0.751
曲院风荷,M,大学,32471,0.306
平湖秋月,F,高中,47916,0.089
断桥残雪,F,高中,36103,0.29
花港观鱼,F,高中,15502,0.733
柳浪闻莺,M,高中,36098,0.798
三潭印月,F,大学,25242,0.747
双峰插云,F,初中,9763,0.291
雷峰夕照,F,初中,10061,0.354
南屏晚钟,F,大学及以上,4779,0.388
苏提春晓,M,大学,42950,0.951
曲院风荷,M,高中,27237,0.321
平湖秋月,F,高中,5859,0.615
断桥残雪,M,大学,11294,0.483
花港观鱼,F,初中,44378,0.319
柳浪闻莺,F,初中,7426,0.336
三潭印月,M,大学,33779,0.048
双峰插云,F,初中,11938,0.239
雷峰夕照,F,初中,34571,0.226
南屏晚钟,F,大学,29747,0.641
苏提春晓,M,高中,46838,0.603
曲院风荷,F,大学及以上,37828,0.859
平湖秋月,M,大学,7178,0.351
断桥残雪,M,大学及以上,20198,0.374
花港观鱼,F,初中,42188,0.97
柳浪闻莺,M,初中,12982,0.104
三潭印月,M,初中,30580,0.255
双峰插云,F,高中,46808,0.472
雷峰夕照,F,大学,14187,0.899
南屏晚钟,F,大学,26413,0.195
苏提春晓,F,高中,37809,0.978
曲院风荷,F,大学,33362,0.68
平湖秋月,F,大学及以上,22368,0.408
断桥残雪,M,大学,20574,0.82
花港观鱼,F,大学及以上,24169,0.53
柳浪闻莺,F,大学,18041,0.622
三潭印月,M,高中,36623,0.287
双峰插云,F,大学及以上,40524,0.491
雷峰夕照,M,大学,22029,0.073
南屏晚钟,M,高中,4173,0.064
苏提春晓,F,大学,39891,0.04
曲院风荷,F,大学及以上,8611,0.001
平湖秋月,F,高中,25352,0.351
断桥残雪,F,大学,37326,0.872
花港观鱼,M,高中,18111,0.987
柳浪闻莺,M,高中,12003,0.493
三潭印月,M,大学及以上,30076,0.573
双峰插云,F,大学,26797,0.539
雷峰夕照,M,大学,27896,0.555
南屏晚钟,M,高中,10556,0.949
苏提春晓,F,高中,11946,0.218
曲院风荷,F,大学及以上,7011,0.028
平湖秋月,M,高中,15574,0.36
断桥残雪,F,高中,15947,0.653
